time_iso8601,stars_cumulative
2019-04-22 00:00:00+00:00,1213
2019-04-23 00:00:00+00:00,1214
2019-04-24 00:00:00+00:00,1219
2019-04-26 00:00:00+00:00,1220
2019-04-28 00:00:00+00:00,1222
2019-04-29 00:00:00+00:00,1224
2019-04-30 00:00:00+00:00,1225
2019-05-01 00:00:00+00:00,1227
2019-05-02 00:00:00+00:00,1228
2019-05-03 00:00:00+00:00,1229
2019-05-04 00:00:00+00:00,1230
2019-05-05 00:00:00+00:00,1233
2019-05-07 00:00:00+00:00,1234
2019-05-08 00:00:00+00:00,1235
2019-05-09 00:00:00+00:00,1238
2019-05-10 00:00:00+00:00,1240
2019-05-11 00:00:00+00:00,1243
2019-05-12 00:00:00+00:00,1246
2019-05-13 00:00:00+00:00,1248
2019-05-14 00:00:00+00:00,1253
2019-05-15 00:00:00+00:00,1259
2019-05-16 00:00:00+00:00,1269
2019-05-17 00:00:00+00:00,1274
2019-05-18 00:00:00+00:00,1275
2019-05-19 00:00:00+00:00,1277
2019-05-20 00:00:00+00:00,1283
2019-05-21 00:00:00+00:00,1287
2019-05-22 00:00:00+00:00,1289
2019-05-23 00:00:00+00:00,1293
2019-05-24 00:00:00+00:00,1297
2019-05-25 00:00:00+00:00,1299
2019-05-27 00:00:00+00:00,1300
2019-05-28 00:00:00+00:00,1303
2019-05-29 00:00:00+00:00,1315
2019-05-30 00:00:00+00:00,1316
2019-05-31 00:00:00+00:00,1318
2019-06-01 00:00:00+00:00,1323
2019-06-02 00:00:00+00:00,1326
2019-06-03 00:00:00+00:00,1329
2019-06-04 00:00:00+00:00,1330
2019-06-05 00:00:00+00:00,1332
2019-06-06 00:00:00+00:00,1340
2019-06-07 00:00:00+00:00,1342
2019-06-08 00:00:00+00:00,1344
2019-06-09 00:00:00+00:00,1349
2019-06-10 00:00:00+00:00,1357
2019-06-11 00:00:00+00:00,1360
2019-06-12 00:00:00+00:00,1367
2019-06-13 00:00:00+00:00,1372
2019-06-14 00:00:00+00:00,1378
2019-06-15 00:00:00+00:00,1379
2019-06-16 00:00:00+00:00,1381
2019-06-17 00:00:00+00:00,1387
2019-06-18 00:00:00+00:00,1390
2019-06-19 00:00:00+00:00,1392
2019-06-20 00:00:00+00:00,1397
2019-06-21 00:00:00+00:00,1403
2019-06-22 00:00:00+00:00,1408
2019-06-23 00:00:00+00:00,1412
2019-06-24 00:00:00+00:00,1422
2019-06-25 00:00:00+00:00,1429
2019-06-26 00:00:00+00:00,1436
2019-06-27 00:00:00+00:00,1439
2019-06-28 00:00:00+00:00,1440
2019-06-29 00:00:00+00:00,1442
2019-06-30 00:00:00+00:00,1443
