time_iso8601,forks_cumulative
2020-01-21 00:00:00+00:00,449
2020-01-23 00:00:00+00:00,451
2020-01-24 00:00:00+00:00,452
2020-01-27 00:00:00+00:00,456
2020-01-28 00:00:00+00:00,459
2020-01-29 00:00:00+00:00,460
2020-01-31 00:00:00+00:00,462
2020-02-01 00:00:00+00:00,463
2020-02-03 00:00:00+00:00,465
2020-02-05 00:00:00+00:00,467
2020-02-06 00:00:00+00:00,468
2020-02-07 00:00:00+00:00,469
2020-02-10 00:00:00+00:00,475
2020-02-11 00:00:00+00:00,477
2020-02-12 00:00:00+00:00,479
2020-02-13 00:00:00+00:00,481
2020-02-14 00:00:00+00:00,483
2020-02-15 00:00:00+00:00,484
2020-02-18 00:00:00+00:00,485
2020-02-19 00:00:00+00:00,486
2020-02-20 00:00:00+00:00,487
2020-02-23 00:00:00+00:00,488
2020-02-25 00:00:00+00:00,489
2020-02-26 00:00:00+00:00,491
2020-02-27 00:00:00+00:00,493
2020-02-28 00:00:00+00:00,494
2020-03-03 00:00:00+00:00,497
2020-03-04 00:00:00+00:00,498
2020-03-05 00:00:00+00:00,502
2020-03-06 00:00:00+00:00,504
2020-03-07 00:00:00+00:00,506
2020-03-10 00:00:00+00:00,508
2020-03-11 00:00:00+00:00,510
2020-03-12 00:00:00+00:00,513
2020-03-13 00:00:00+00:00,514
2020-03-14 00:00:00+00:00,515
2020-03-16 00:00:00+00:00,517
2020-03-18 00:00:00+00:00,519
2020-03-21 00:00:00+00:00,520
2020-03-25 00:00:00+00:00,521
2020-03-26 00:00:00+00:00,523
2020-03-27 00:00:00+00:00,524
2020-04-01 00:00:00+00:00,527
2020-04-02 00:00:00+00:00,529
2020-04-03 00:00:00+00:00,533
2020-04-07 00:00:00+00:00,534
2020-04-10 00:00:00+00:00,536
2020-04-13 00:00:00+00:00,538
2020-04-14 00:00:00+00:00,540
2020-04-15 00:00:00+00:00,542
2020-04-16 00:00:00+00:00,544
2020-04-17 00:00:00+00:00,546
2020-04-18 00:00:00+00:00,547
2020-04-19 00:00:00+00:00,548
2020-04-20 00:00:00+00:00,549
2020-04-21 00:00:00+00:00,550
2020-04-22 00:00:00+00:00,552
2020-04-23 00:00:00+00:00,553
2020-04-24 00:00:00+00:00,554
2020-04-27 00:00:00+00:00,556
2020-04-29 00:00:00+00:00,559
2020-05-01 00:00:00+00:00,560
2020-05-04 00:00:00+00:00,562
